name
Sophia Court
Villa Chancerita
The Seawind @ Telok Kurau
La Brisa
Peak Residence
Versilia On Haig
Waterfront View
Sarhad Ville
Tembeling Grove
Cairnhill 16
Jui Residences
The Luxe
Hillside Mansions
38 Jervois
Affinity At Serangoon
Cree Court
Blissful View
Hedges Park Condominium
Juniper Hill (Former Crystal Tower)
Versailles
RV Point
The Hyde
Seven Nassim
The Ritz-Carlton Residences
The WaterGardens @ Canberra
Terrene at Bukit Timah
Belle Vue Residences
Sunflower Court
KAP Residences
Nin Residence
Tedge
77 @ East Coast
Char Yong Gardens
Oxley Residence
Canberra (parcel b)
De Angelo
Residences @ Jansen
The Palladium
De Casalle
Neu at Novena
Onan Suites
Nyon
Espa
Pinetree Condo
Leedon Heights
Platinum Residence
Tessa Lodge
Devonshire 8
Kingsford Hillview Peak
One K Green Lane
The Santorini
D'Grove Villas
Goldenhill Park Condo
The Peak
Macpherson Green
Sculptura Ardmore
The Antares
La Nouvelle
Tat Lee Court
Duet
Chelsea Lodge
8 @ Woodleigh
Canberra Residences
Taipan Grand
The Colonnade
Liang Seah Place
Camellia Lodge
Costa Rhu
Miltonia Residences
Vicenta Lodge
Laguna 88
Sant Ritz
Idyllic Residences
One Rochester
Coastline Residences
7 Claymore
Tropics @ Haigsville
The Waterdale
Vibes @ Kovan
Royal Hallmark
1919
Zedge
The Glades
Dalvey Villas
Eastwind Mansions
La Maison
Kandis Residence
Cassia View
3 @ Phillips
Chestnut Ville
Loft @ Rangoon
Clydeswood
Toh Tuck Lodge
Royalgreen
Watten Estate Condominium
Central Meadows
Livia
Bowmont centre
Qube Suites
Riveria View
Sandy Palm
Park Green
Ceylon Court
Casa Nassau
Skyline 360
H Residences
24 One Residences
Poh Huat Gardens
Emprado Suites
Minbu Court
Treasures @ G19
Lushan Garden
Evergreen Residences
Thomson Euro-Asia
Meralodge
The Elegance @ Changi
8M Residences
Lakeville
The Dairy Farm
Eton Court
La Ville
Paterson Lodge
The Aspine
Niven Suites
Kingsgrove
Silversea
The Viridian
The Mercury
Alexis
Dong Xing Court
Holland Residences
Eastbay
Leighwoods
Sophia Residence
Centra Residence
Signature Crest
The Lighthouse
The Boutiq @ Killiney
King's Mansion
Paradise Palms
Minton Rise Condominium
YGK Gardens
Kismis Court
Aspen Loft
The Interweave
Central Square
Villas Laguna
183 Longhaus
Coralis
Grange 1866
Ardmore View
91 Marshall
The Florence Residences
Chiku Mansions
Fragrant Gardens
7 Draycott Drive
CONDOMINIUMS (21) - new - 13 storey (33 DEVONSHIRE)
Marina Collection
28 Imperial Residences
Bayou Residence
Cityscape at Farrer Park
Dunearn 386
Casa Cambio
Rangoon 88
Studio8
Woodsville 28
Bideford Hills
Parc Olympia
RiverBay
Sunset Lodge
Waterfront Gold
Cannaville
Loft @ Stevens
Devonshire Residences
St Thomas Ville
Spazio @ Kovan
Reflections at Keppel Bay
The Areca
The Verte
Emerald Garden
The Verv @ RV
TRUSSVILLE
Bartley Ridge
East Bay Gardens
D'Cambridge
Sophia 98
Novena Lodge
CONDOMINIUMS (35) - new - 5 storey (FORMER KOVAN LODGE)
Dragon View Park
The Clement Canopy
The Crest
JC Court
Bliss Loft
The Dairy Farm
Beauty World Plaza
Casa Rosita
D'Weave
Morimasa Garden
Eastern Lodge
Clover By The Park
The Avenir
28 Gilstead Road
Rich East Garden
The Tresor
Nathan Suites
The Scotts Tower
Palm Lodge
Mori
Concorde Residences
The Vanderlint
Seaview Point
Kew Green
Prince Charles Residences
Suites @ East Coast
Euro-Asia Park
Holland Suites
East Palm
Tree House
Sea Pavilion Residences
Hillview Court
One Holland Village Residences
One K Green Lane
One Fort
Stellar RV
Gloucester Mansions
CITYVALE
The Baycourt
Delight Court
Lloyd Mansion
Butterworth 8
Teck Guan Ville
Aldea Blanca
Familie Mansions
Windy Heights
ZEPHYR PARK
Gideon's Lodge
The Luxurie
Trevista
Residences @ Emerald Hill
Le Nouvel Ardmore
Casa Irrawaddy
La Vida @ 130
Parc Centros
The Morningside
Sage
Jardin
Hundred Trees
Smailing Court
Nuovo
Country Grandeur
VIVA
Chen Fang Mansions
Verdure @ Holland Park
Sloane Residences
Wallich Residence
D'Nest
Elizabeth Regency
Butterworth 8
Uber 388
Sky Habitat
Tre Residences
The Arte
Tembeling Court
Mayfair Modern
The Iveria
Bournemouth Eight
Dukes Residences
Balmoral View
Casa Pasir Ris
Balmoral Tower
Surrey Court
Parc Esta
One Devonshire
Adria
Seven Palms Sentosa Cove
Waterloo Apartments
d'Leedon (Former Farrer Court)
Pollen & Bleu
The Calypso
Clavon
Meadows @ Peirce
Westwood Residences EC
Lotus At Pasir Panjang
The Gazania
Killiney 118
Regent Gardens
Chancery Corner
The Cristallo
Ikigai
The Clayton
Holland Mansion
Jewel @ Buangkok
Jervois Mansion
Suites @ Katong
Bedok Residences
The Hillford
Rivage
The Tennery
Novelis @ Novena
Dunman Place
Park Colonial
15 Holland Hill
Riversails
Corals at Keppel Bay
Toho Garden
Hillview Park
Fernhill Court Condo
Gardenia Court
Central View
Dragon Mansion
The Balmoral Spring
King's Court
Alba
Whistler Grand
Gem Residences
Datoh Court
Wilkie Apartments
Cosy Lodge
Idyllic Suites
The Verandah Residences
Siglap V
Eunos Park
Rio Casa
Archipelago
Palm Residence
Blossom Mansions
Le Wilkie
West-N
Le M Residence
Maison Royale
Vue 8 Residence
Sky Green
Coastal Breeze Residences
Westpoint Condominium
Kovan Residences
Eunos Park
One Robin
Floridian
The Riverside Piazza
Eight Courtyards
Holland Crest
OUE Twin Peaks
The Ansley
21 Anderson Royal Oak Residence
Astridville
Rose Court
Grange 70
Seraya Residences
Bartley Residences
Parc Rosewood
The Foresta @ Mount Faber
Casa Jervois
L'VIV
The Balmoral
Urban Treasures
Centro Mansions
Thomson Grove
Kallang Riverside
RV Residences
Orchid Mansion
Balmoral Gardens
The Tapestry
Envio
Liv @ MB
The Grandiflora
Eight Riversuites
Fairmount Condo
Ventuno Balmoral
134 Watten Estate
Geylang Heritage
The Horizon
Camelia Park
Chancery Garden
Sturdee View
Queens Peak
The Montana
Principal Garden
St Thomas Lodge
Riz Haven
Eight@18Fort
The Trillium
Park Court
Bagnall Court
Dairy Farm Residences
Gardenville
City Mansion
Myra
Rosewood Suites
VA Residences
Bella Casita
Cyan
One St Michael's
Flamingo Valley
The Bayshore
Kim Keat Gardens
The Bayron
Alpha Apartments
Residences Botanique
Sixth Avenue Ville
Sherwood Condo
Palmera Residence
The Adara
Casa Merah
Eng Kong Green
Studios@Tembeling
Regent Residences
Eden View
Greenacres
Royal Palm Mansions
Mega Woodlands
Cairnhill Nine
Klassic Court
Thomson Grand
East Treasure
Buona Vista Gardens
Suites @ Eunos
Pinehurst Condo
Ampas Apartments
Braddel Regalia
Buckley Classique
Fyve Derbyshire
The Sovereign
Jervois Prive
Treasure at Tampines
Blossoms @ Woodleigh
Sarkies Garden
iSuites @ Palm
Guilin Court
Westvale
Cube 8
The Armadale
Dynasty Garden Court 2
Highland Condominium
The Alps Residences
Parc Centennial
D'Mira
The Glyndebourne
Orchard View
Gilstead Court
Ola Residences
Domus
Terrasse
Global Ville
33 Residences
eCO
Hin Seng Garden
Holland Hill Park
Ferraria Park Condo
The Richmond
Celadon View
Sims Urban Oasis
Stars of Kovan
The Estrella
City Towers
D'Sunrise
Leonie Condotel
Kingsford Waterbay
Farrer Park Suites
The Vision
De Paradiso
Faber Garden Condominium
Verdale
Fort Gardens
One Robey
Straits Mansions
Lew's Mansion
The Tembusu
Villa De West
Patent Place
Camay Court
Shangri-La Residences
Finland Gardens
Sunflower View
Chuan Park
Symphony Suites
Dalvey Court
The Reef at King’s Dock
The Chatelet
Viento
D' Almira
Centennia Suites
Newton Meadows
Chester Park
Eden Residences Capitol
Haig Residences
Goodwood Residence
Rivercove Residences EC
Evian Condominium
Royce Residences
Double Bay Residences
Waterbank at Dakota
Ruby Apartments
Loft@Holland
Trilive
Liberte
Palm Isles
Country Esquire
Mont Botanik Residence
Parc Botannia
CONDOMINIUMS (11) - new - 5 storey
Haus On Handy
Villa Azura
Ricchezza
Parisian
Sunshine Lodge
Oxley Mansion
The Line@Tanjong Rhu
Latitude
Cascata
The Gale
Sunny Grove
Permai Residences
Perfect Ten
South Beach Residences
Bright Building
Carabelle
Park Nova
Holland Gems
Riverbank at Fernvale
Countryview
Sims Meadows
Loft @ Nathan
Le Quest
Verticus
Arena Residences
Sommerville Loft
Suites Twenty Two
Signature Park
Mi Casa
Ness
Eastside Loft
Sturdee Residences
Urban Residences
The Ardmore
Goldleaf Gardens
Victory Heights
Casa De Venice
Mimosa Park
Parc Imperial
Jade Towers
Spottiswoode 18
The Promont
The Arden
MeyerHouse
Dunman Regency
Village Tower
Compass Green
Mill Creek
La Suisse I
Hillcourt
The Aston
Shelford Condominium
Gallery Fifteen
Rezi 26
Sommerville Grandeur
Marine View Mansion
Riversound Residence
Ardmore Residence
Miro
MDIS Residences@Stirling
Evergreen View
White House Residence
Nassim Woods
Pullman Residences
Brookvale Park
The Sunniflora
The Seafront on Meyer
Camelodge
A Treasure Trove
Levenue
The Vue
Chateau Eliza
Uptown @ Farrer
Ripple Bay
Ventura View
The Lincoln Residences
Kingston Terrace
Birchwood Mansions
Marine Blue
Changi Green
Up@Robertson Quay
The Ebony
Parc Bleu
The M
Wan Tho Lodge
D'Oasia
Waterview
Laguna 88
Stadia
Waterfront Waves
Permai Court
Chuan Vista II
Kembangan Suites
St Thomas Court
38 Stevens Road
The Cairnhill
Carpmael Thirty-Eight
Suites @ Shrewsbury
Beaufort on Nassim
Duku Court
Thomson Imperial Court
Parc Clematis
Euhabitat
Chantilly Rise
Katong Towers enbloc
Gaia
Lloyd SixtyFive
Aura 83
111 Emerald Hill
OLA Residences @ Mountbatten
Duchess Manor
Lilydale
La Belle
Lotus At Jervois
Fernhill Grove
Jing Suites
Chiverton
Parc Regency
The Blissville
Kent Residences
Artra
Bassein Court
Midwood
Draycott Tower
La Dolce Vita
Corona Ville
Luxe Ville
Sophia Hills
Sea Esta
Duchess Walk
Fairways
Meya Lodge
Riviere
Knox View
Shan Court
Treasures @ G20
Cosy 23
Nathan Residences
Tribeca
Derbyshire Heights
Dorsett Residences
Metro Loft
Deng Fu Ville
The Trillium
Cooliv Service Apartment
28 Shelford
The Verve
One Pearl Bank
Sixteen35 Residences
Grace Court
90 Holland Road
The Sixth Avenue Residences
Waterfront Isle
iNz Residence
Lloyd Court
Elmira Heights
Bo Bo Tan Gardens
8 Saint Thomas
Cape Royale
Soleil @ Sinaran
Chantilly Rise
Bedok Gardens
Harbour Suites @ Kampong Bahru
The Minton
The LINQ @ Beauty World
Chancery Lodge
Eastern Residence
Inova 100
Spottiswoode Suites
Balmoral Condo
The Asteria
Lion Towers
Banyan Condo
Duchess Royale
JJH Residences
Sengkang Grand Residences
Moonstone View
Altez
