order,name,href,score
1378,1919,https://condo.singaporeexpats.com/condo/3323/1919,<20%
636,# 1 LOFT,https://condo.singaporeexpats.com/condo/3514/1-LOFT,<20%
2097,# 1 SUITES,https://condo.singaporeexpats.com/condo/3515/1-SUITES,<20%
690,1 CANBERRA,https://condo.singaporeexpats.com/condo/3322/1-CANBERRA,<20%
281,1 KING ALBERT PARK,https://condo.singaporeexpats.com/condo/2/1-KING-ALBERT-PARK,60%-79%
1296,1 MOULMEIN RISE,https://condo.singaporeexpats.com/condo/3/1-MOULMEIN-RISE,40%-59%
546,10 SHELFORD,https://condo.singaporeexpats.com/condo/3516/10-SHELFORD,<20%
2702,11 AMBER ROAD,https://condo.singaporeexpats.com/condo/2272/11-AMBER-ROAD,40%-59%
863,111 EMERALD HILL,https://condo.singaporeexpats.com/condo/3324/111-EMERALD-HILL,<20%
577,16 @ AMBER,https://condo.singaporeexpats.com/condo/3327/16-@-AMBER,<20%
1026,18 SHELFORD,https://condo.singaporeexpats.com/condo/3302/18-SHELFORD,20%-39%
1641,18 WOODSVILLE,https://condo.singaporeexpats.com/condo/3329/18-WOODSVILLE,<20%
703,21 RICHARDS,https://condo.singaporeexpats.com/condo/3517/21-RICHARDS,<20%
396,26 NEWTON,https://condo.singaporeexpats.com/condo/3321/26-NEWTON,<20%
234,28 IMPERIAL RESIDENCES,https://condo.singaporeexpats.com/condo/3350/28-IMPERIAL-RESIDENCES,<20%
2295,28 RC SUITES,https://condo.singaporeexpats.com/condo/3518/28-RC-SUITES,<20%
2463,28 SHELFORD,https://condo.singaporeexpats.com/condo/14/28-SHELFORD,60%-79%
509,283 STUDIO,https://condo.singaporeexpats.com/condo/3351/283-STUDIO,20%-39%
1372,3 @ PHILLIPS,https://condo.singaporeexpats.com/condo/2347/3-@-PHILLIPS,20%-39%
2753,3 @ SANDILANDS,https://condo.singaporeexpats.com/condo/2990/3-@-SANDILANDS,20%-39%
1957,30 ST THOMAS WALK,https://condo.singaporeexpats.com/condo/3315/30-ST-THOMAS-WALK,<20%
2565,368 THOMSON,https://condo.singaporeexpats.com/condo/3289/368-THOMSON,<20%
903,38 I SUITES,https://condo.singaporeexpats.com/condo/3489/38-I-SUITES,<20%
2896,448 @ EAST COAST,https://condo.singaporeexpats.com/condo/3353/448-@-EAST-COAST,<20%
2143,6 DERBYSHIRE,https://condo.singaporeexpats.com/condo/3519/6-DERBYSHIRE,<20%
1355,76 SHENTON,https://condo.singaporeexpats.com/condo/3219/76-SHENTON,<20%
221,8 @ MOUNT SOPHIA,https://condo.singaporeexpats.com/condo/10/8-@-MOUNT-SOPHIA,<20%
2033,8 @ WOODLEIGH,https://condo.singaporeexpats.com/condo/3146/8-@-WOODLEIGH,<20%
203,8 BASSEIN,https://condo.singaporeexpats.com/condo/3360/8-BASSEIN,<20%
606,8 EDEN GROVE,https://condo.singaporeexpats.com/condo/2305/8-EDEN-GROVE,60%-79%
