name,mrt,distToMrt,school,distToSchool
"1919","DHOBY GHAUT,LITTLE INDIA,BENCOOLEN","0.44,0.56,0.58","ST. MARGARET'S PRIMARY SCHOOL,ANGLO-CHINESE SCHOOL (JUNIOR),STAMFORD PRIMARY SCHOOL","0.14,0.95,1.16"
"# 1 LOFT","ALJUNIED,MOUNTBATTEN,DAKOTA","0.41,0.74,0.8","GEYLANG METHODIST SCHOOL (PRIMARY),KONG HWA SCHOOL,MACPHERSON PRIMARY SCHOOL","0.52,0.55,1.32"
"# 1 SUITES","ALJUNIED,MOUNTBATTEN,DAKOTA","0.47,0.72,0.98","GEYLANG METHODIST SCHOOL (PRIMARY),KONG HWA SCHOOL,MACPHERSON PRIMARY SCHOOL","0.63,0.76,1.35"
"1 CANBERRA","YISHUN,SEMBAWANG,KHATIB","1.03,1.7,2.31","YISHUN PRIMARY SCHOOL,AHMAD IBRAHIM PRIMARY SCHOOL,CHONGFU SCHOOL","0.28,0.57,0.97"
"1 KING ALBERT PARK","KING ALBERT PARK,BEAUTY WORLD,SIXTH AVENUE","0.4,0.68,1.99","PEI HWA PRESBYTERIAN PRIMARY SCHOOL,METHODIST GIRLS' SCHOOL (PRIMARY),BUKIT TIMAH PRIMARY SCHOOL","0.47,0.54,1.46"
"1 MOULMEIN RISE","NOVENA,FARRER PARK,NEWTON","0.31,1.07,1.25","BALESTIER HILL PRIMARY SCHOOL,BALESTIER HILL PRIMARY SCHOOL,FARRER PARK PRIMARY SCHOOL","0.81,0.81,0.85"
"10 SHELFORD","BOTANIC GARDENS,TAN KAH KEE,FARRER ROAD","0.45,0.53,1.07","NANYANG PRIMARY SCHOOL,RAFFLES GIRLS' PRIMARY SCHOOL,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","0.74,0.82,1.81"
"11 AMBER ROAD","DAKOTA,MOUNTBATTEN,PAYA LEBAR","1.51,1.96,2.2","TANJONG KATONG PRIMARY SCHOOL,HAIG GIRLS' SCHOOL,TAO NAN SCHOOL","0.69,1.46,1.49"
"111 EMERALD HILL","SOMERSET,ORCHARD,NEWTON","0.56,0.81,0.82","ANGLO-CHINESE SCHOOL (JUNIOR),ST. MARGARET'S PRIMARY SCHOOL,RIVER VALLEY PRIMARY SCHOOL","0.55,0.79,1.23"
"16 @ AMBER","DAKOTA,MOUNTBATTEN,PAYA LEBAR","1.45,1.9,2.15","TANJONG KATONG PRIMARY SCHOOL,HAIG GIRLS' SCHOOL,TAO NAN SCHOOL","0.66,1.44,1.52"
"18 SHELFORD","BOTANIC GARDENS,TAN KAH KEE,FARRER ROAD","0.58,0.6,1.24","RAFFLES GIRLS' PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","0.77,0.89,1.83"
"18 WOODSVILLE","POTONG PASIR,GEYLANG BAHRU,WOODLEIGH","0.23,0.99,1.06","ST. ANDREW'S JUNIOR SCHOOL,ST. JOSEPH'S INSTITUTION JUNIOR,BENDEMEER PRIMARY SCHOOL","0.41,0.66,0.97"
"21 RICHARDS","KOVAN,SERANGOON,HOUGANG","0.45,1.63,1.65","XINMIN PRIMARY SCHOOL,XINGHUA PRIMARY SCHOOL,ZHONGHUA PRIMARY SCHOOL","1.06,1.08,1.33"
"26 NEWTON","NOVENA,NEWTON,LITTLE INDIA","0.53,0.54,1.34","ANGLO-CHINESE SCHOOL (PRIMARY),ANGLO-CHINESE SCHOOL (JUNIOR),FARRER PARK PRIMARY SCHOOL","0.7,0.7,1.1"
