name,Address,sale_price_range,en_bloc_prob
1919,"110 Sophia Road, singapore 228175","S$ 1,300,000
  -
  S$ 1,890,000",<20%
#1 Suites (One Suites),"1 Lorong 20 Geylang, singapore 398721","S$ 660,000
  -
  S$ 788,000",null
10 Evelyn,"10 Evelyn Road, singapore 309312",null,null
10 Tanglin,"10 Tanglin Road, singapore 247908",null,null
111 Emerald Hill,"111 Emerald Hill, singapore 229391","S$ 4,800,000
  -
  S$ 12,800,000",<20%
12 On Shan,"12 Shan Road, singapore 328105",null,null
120 Grange,"120 Grange Road, singapore 249600","S$ 1,800,000
  -
  S$ 2,288,888",null
134 Watten Estate,"134 Watten Estate, singapore 287601",null,null
15 Holland Hill,"15 Holland Hill, singapore 278735","S$ 3,600,000
  -
  S$ 14,388,000",null
15 Newton,"15 Newton Road, singapore 307951",null,null
18 Woodsville,"18 Woodsville Close, singapore 357799","S$ 920,000
  -
  S$ 1,880,000",<20%
183 Longhaus,"183 Upper Thomson Road, singapore 574332","S$ 950,000
  -
  S$ 1,750,000",null
19 Balmoral,"19 Balmoral Road, singapore 259804",null,null
19 Nassim,"19 Nassim Hill, singapore 258482","S$ 1,889,000
  -
  S$ 5,953,000",null
21 Anderson Royal Oak Residence,"21 Anderson Road, singapore 259984",null,null
24 One Residences,"241 Pasir Panjang Road, singapore 118596","S$ 1,098,868
  -
  S$ 2,690,000",null
26 Newton,"26 Newton Road Singapore, singapore 307957","S$ 1,080,000
  -
  S$ 3,019,606",<20%
28 Gilstead Road,"28 Gilstead, singapore 309072",null,null
28 Imperial Residences,", singapore 398431","S$ 720,000
  -
  S$ 1,288,888",<20%
28 Shelford,"28 Shelford, singapore 288422",null,60%-79%
3 @ Phillips,"3 Phillips Avenue, singapore 546920","S$ 1,900,000
  -
  S$ 1,900,000",null
3 Cuscaden,"3 Cuscaden Walk, singapore 249690",null,null
3 Orchard By-The-Park,"3 Orchard Boulevard, singapore 248653","S$ 3,400,000
  -
  S$ 13,333,000",null
33 Residences,"33 Lorong 30 Geylang, singapore 398366","S$ 1,260,000
  -
  S$ 1,450,000",null
368 Thomson,"368 Thomson Road, singapore 298127","S$ 1,180,000
  -
  S$ 3,588,000",<20%
38 Amber,"38 Amber Rd, singapore 439877",null,null
38 I Suites,"38 Ipoh Lane, singapore 438646","S$ 750,000
  -
  S$ 1,350,000",<20%
38 Jervois,"38 Jervois Road, singapore 279999",null,null
38 Stevens Road,"38 Stevens Road, singapore 257845",null,null
448 @ East Coast,"448 East Coast, singapore 429000",null,null
57 @ Kovan,"57 Kovan Road, singapore 548147","S$ 1,500,000
  -
  S$ 3,200,000",null
6 Derbyshire,"6 Derbyshire Road, singapore 309462","S$ 950,000
  -
  S$ 7,500,000",<20%
7 Claymore,"7 Claymore Road, singapore 229538",null,null
7 Draycott Drive,"7 Draycott Drive, singapore 259421","S$ 3,750,000
  -
  S$ 12,000,000",null
72 Grange,"72 Grange Road, singapore 249576","S$ 8,900,000
  -
  S$ 8,900,000",null
77 @ East Coast,"77 Upper East Coast Road, singapore 455218","S$ 880,000
  -
  S$ 2,195,000",null
8 @ Woodleigh,"2 Woodleigh Close, singapore 357900","S$ 649,998
  -
  S$ 2,060,000",null
8 Bassein,"8 Bassein Road, singapore 309838","S$ 825,000
  -
  S$ 2,990,000",<20%
8 Hullet,"8 Hullet Road, singapore 229160","S$ 1,721,500
  -
  S$ 2,924,582",null
8 Lincoln,"8 Lincoln Road, singapore 308363",null,null
8 Napier,"8 Napier Road, singapore 258502","S$ 8,500,000
  -
  S$ 25,928,692",20%-39%
8 Orange Grove,"8 Orange Grove Road, singapore 258342","S$ 7,500,000
  -
  S$ 16,888,888",null
8 Raja,"8 Jalan Raja Udang, singapore 329217",null,<20%
8 Rodyk,"8 Rodyk Street, singapore 238216","S$ 1,575,000
  -
  S$ 2,400,000",20%-39%
8 Saint Thomas,"10 Saint Thomas Walk, singapore 238102","S$ 3,288,888
  -
  S$ 5,366,000",null
8M Residences,"8 Margate Road, singapore 438049","S$ 1,250,000
  -
  S$ 3,500,000",<20%
9 Holland Hill,"9 Holland Hill, singapore 278738","S$ 3,000,000
  -
  S$ 3,000,000",null
9 Seraya Lane,"9 Seraya Lane, singapore 437276",null,null
90 Holland Road,"90 Holland Road, singapore 278535","S$ 3,200,000
  -
  S$ 3,200,000",null
91 Marshall,"91 Marshall Road, singapore 424887","S$ 669,000
  -
  S$ 670,000",<20%
A Treasure Trove,"58 Punggol Walk, singapore 828779","S$ 926,888
  -
  S$ 1,600,000",<20%
Adria,"12 Derbyshire Road, singapore 309466","S$ 1,400,000
  -
  S$ 1,600,000",<20%
Affinity At Serangoon,"Serangoon North Avenue 1, singapore 550128",null,null
Airstream,"26 St Michael's Road, singapore 327994","S$ 613,000
  -
  S$ 949,999",<20%
Alba,"8 Cairnhill Rise, singapore 229743","S$ 6,243,000
  -
  S$ 26,588,888",60%-79%
Aldea Blanca,"474 Upper East Coast Road, singapore 466515",null,null
Alegria Boutique Apartments,"323C thomson road, singapore 307669",null,null
Alexis,"356 Alexandra Road, singapore 159949","S$ 780,000
  -
  S$ 1,650,000",<20%
Alpha Apartments,"98 Koon Seng Road, singapore 427037",null,20%-39%
Altez,"16 Enggor Street, singapore 079717","S$ 1,188,888
  -
  S$ 14,715,930",<20%
Amber 45,"45 Amber Road, singapore 439886","S$ 1,730,000
  -
  S$ 4,222,000",null
Amber Sea,"30 Amber Gardens, singapore 439964","S$ 800,000
  -
  S$ 7,852,800",null
Ampas Apartments,"5 Jalan Ampas, singapore 329506",null,>80%
Archipelago,"0 Bedok Reservoir Road, singapore 470700","S$ 700,000
  -
  S$ 3,880,000",<20%
Ardmore 3,"3 Ardmore Park, singapore 259950","S$ 5,750,000
  -
  S$ 7,500,000",null
Ardmore Residence,"7 Ardmore Park, singapore 259954",null,null
Ardmore View,"6 Ardmore Park, singapore 259949",null,null
Arena Residences,"20 Guillemard Crescent, singapore 399874","S$ 1,204,999
  -
  S$ 1,888,888",null
Artra,"12 Alexandra View, singapore 158736","S$ 1,600,000
  -
  S$ 2,850,000",null
