name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
1919,"110 Sophia Road, singapore 228175","S$ 1,300,000
  -
  S$ 1,890,000",<20%,1.302776124,103.846571,99,,
#1 Suites (One Suites),"1 Lorong 20 Geylang, singapore 398721","S$ 660,000
  -
  S$ 788,000",null,1.312390293,103.8815041,99,,
10 Evelyn,"10 Evelyn Road, singapore 309312",null,null,1.316154918,103.8405338,99,,
10 Tanglin,"10 Tanglin Road, singapore 247908",null,null,1.306552952,103.8262853,99,,
111 Emerald Hill,"111 Emerald Hill, singapore 229391","S$ 4,800,000
  -
  S$ 12,800,000",<20%,1.305059213,103.8392358,99,,
12 On Shan,"12 Shan Road, singapore 328105",null,null,1.324787262,103.8463541,99,,
120 Grange,"120 Grange Road, singapore 249600","S$ 1,800,000
  -
  S$ 2,288,888",null,1.299979099,103.8255228,99,,
134 Watten Estate,"134 Watten Estate, singapore 287601",null,null,1.332312036,103.8106191,99,,
15 Holland Hill,"15 Holland Hill, singapore 278735","S$ 3,600,000
  -
  S$ 14,388,000",null,1.309649563,103.8008705,99,,
15 Newton,"15 Newton Road, singapore 307951",null,null,1.315320272,103.839975,99,,
18 Woodsville,"18 Woodsville Close, singapore 357799","S$ 920,000
  -
  S$ 1,880,000",<20%,1.329580442,103.8681883,99,,
183 Longhaus,"183 Upper Thomson Road, singapore 574332","S$ 950,000
  -
  S$ 1,750,000",null,1.351249882,103.8354087,99,,
19 Balmoral,"19 Balmoral Road, singapore 259804",null,null,1.315810578,103.8326909,99,,
19 Nassim,"19 Nassim Hill, singapore 258482","S$ 1,889,000
  -
  S$ 5,953,000",null,1.306563464,103.8213284,99,,
21 Anderson Royal Oak Residence,"21 Anderson Road, singapore 259984",null,null,1.312647232,103.8281043,99,,
24 One Residences,"241 Pasir Panjang Road, singapore 118596","S$ 1,098,868
  -
  S$ 2,690,000",null,1.280181198,103.7848247,99,,
26 Newton,"26 Newton Road Singapore, singapore 307957","S$ 1,080,000
  -
  S$ 3,019,606",<20%,1.315692816,103.8416155,99,,
28 Gilstead Road,"28 Gilstead, singapore 309072",null,null,1.317010997,103.8392483,99,,
28 Imperial Residences,", singapore 398431","S$ 720,000
  -
  S$ 1,288,888",<20%,undefined,undefined,0,,
28 Shelford,"28 Shelford, singapore 288422",null,60%-79%,1.328993475,103.8117692,99,,
3 @ Phillips,"3 Phillips Avenue, singapore 546920","S$ 1,900,000
  -
  S$ 1,900,000",null,1.363375393,103.8745311,99,,
3 Cuscaden,"3 Cuscaden Walk, singapore 249690",null,null,1.303933319,103.8293882,99,,
3 Orchard By-The-Park,"3 Orchard Boulevard, singapore 248653","S$ 3,400,000
  -
  S$ 13,333,000",null,1.303333389,103.8247067,99,,
33 Residences,"33 Lorong 30 Geylang, singapore 398366","S$ 1,260,000
  -
  S$ 1,450,000",null,1.311980835,103.8865327,99,,
368 Thomson,"368 Thomson Road, singapore 298127","S$ 1,180,000
  -
  S$ 3,588,000",<20%,1.327091332,103.8419786,99,,
38 Amber,"38 Amber Rd, singapore 439877",null,null,1.300731991,103.9008743,99,,
38 I Suites,"38 Ipoh Lane, singapore 438646","S$ 750,000
  -
  S$ 1,350,000",<20%,1.311693082,103.8963067,99,,
38 Jervois,"38 Jervois Road, singapore 279999",null,null,undefined,undefined,0,,
38 Stevens Road,"38 Stevens Road, singapore 257845",null,null,1.314387957,103.8273403,99,,
448 @ East Coast,"448 East Coast, singapore 429000",null,null,undefined,undefined,0,,
57 @ Kovan,"57 Kovan Road, singapore 548147","S$ 1,500,000
  -
  S$ 3,200,000",null,1.357342857,103.8805189,99,,
6 Derbyshire,"6 Derbyshire Road, singapore 309462","S$ 950,000
  -
  S$ 7,500,000",<20%,1.315681726,103.8458804,99,,
7 Claymore,"7 Claymore Road, singapore 229538",null,null,1.308033477,103.8290251,99,,
7 Draycott Drive,"7 Draycott Drive, singapore 259421","S$ 3,750,000
  -
  S$ 12,000,000",null,1.30899107,103.8310248,99,,
72 Grange,"72 Grange Road, singapore 249576","S$ 8,900,000
  -
  S$ 8,900,000",null,1.299622078,103.8292282,99,,
